v_mrf,4.38
8,SMPC522A1DC0032_DE-PIAE1004_20170317_141829.dat
category,startRow,nRows,type
environmentMetaData,11,2,emd
systemMetaData,13,2,smd
vehicleInformationMetaData,15,2,vimd
visionMetaData,17,2,vmd
pedestrianMarkings,19,239,pdmf
streamMarkingSignature,258,26,sms
vehicleMarkings,284,486,vdmf
countryCode,gpsCoordinates,recordingLocation,recordingTime,ambientTemperature,countryStateCode,timeOfDayAuto,season,rightHandedTraffic
SE,58.4182755391984;15.5573599956439,,2017-03-17T14:18:29.000Z,,,,,
additionalSensors,leftCameraSensorType,rightCameraSensorType,savingMode,cameraID,cameraSensorTemperatureMin,cameraSensorTemperatureMean,cameraSensorTemperatureMax,softwareVersion,hardwareVersion,pitchAngleMin,pitchAngleMax,rollAngleMin,rollAngleMax,diskID,navigationSystem,cameraType,driverName,currentHorizon,calibratedHorizon,cameraAssembly,systemRelease,gpsType,navigationSystemVersion,bobFirmwareVersion,bobHardwareVersion,collectionComputerId,collectionToolVersion,dgpsAvailable,externalGpsAvailable,lidarAvailable,naviAvailable,radarAvailable,DGPSmodel
,,RGB,,SMPC522A1DC0032,,,,RC1,,,,,,,,,alexander.brandstrom,,,,,,,,,,3.0.1,,,,,,
horizontalDrivenCurvatureMaxLeft,horizontalDrivenCurvatureMaxRight,horizontalDrivenCurvatureRadius,verticalDrivenCurvatureMin,sCurvature,verticalDrivenCurvatureMax,wipers,windshieldWasher,minVelocity,maxVelocity,meanVelocity,minYawRate,maxYawRate,meanYawRate,minAcceleration,maxAcceleration,meanAcceleration,vehicle,drivenDistance,highBeamOn,longitudinalAccelerationAverage,longitudinalAccelerationMin,longitudinalAccelerationMax,lateralAccelerationAverage,lateralAccelerationMin,lateralAccelerationMax,egoVehicleBeamType,egoVehicleWindshieldType,meanPitchRate,meanRollRate
,,,,,,,false,55,56.5,56.0156975568727,-0.560000002384186,4.55000019073486,0.599493506215873,,,,DE-PIAE1004,0.463261135097874,false,,,,,,,,clear,,
roadUser,sky,timeOfDay,roadMaterial,roadCharacteristics,roadType,roadCover,surfaceQuality,castShadows,objects,glare,exposure,spray,precipitation,detailedPrecipitation,blockage,sight,sightValue,diffusion,destinationSet,interestingLane,interestingSign,roadCharacteristicsAutomatic,specialEvent,streetGlare,useCase,tailgatingVehicle,sunDirection,smoke,LSRroadType,trafficDensity,roadCategorySignType
,partlyCloudy,day,,,suburban,,,,,,,,none,none,none,full,,,,,,,,,,,,,,,
frameNumber,streamName,refId,top,bottom,left,right,objectType,height,direction,movement,occlusion,headOccluded,feetOccluded,overlapped,unsharp,strangePose,distance,keyFrame,lidarDistanceX,lidarDistanceY,lidarVelocityX,lidarVelocityY,crossing,accessory,box3DGroundLength,box3DGroundWidth,box3DGroundCenterX,box3DGroundCenterXSigma,box3DGroundCenterY,box3DGroundCenterYSigma,box3DClosestPointX,box3DClosestPointY,box3DOrientationAngle,box3DOrientationAngleSigma,box3DHeight,box3DRelVelocityX,box3DRelVelocityXSigma,box3DRelVelocityY,box3DRelVelocityYSigma,box3DDataSource,box3DLidarInterpolationAge
125,RggbLogarithmicMasterWindowA,2,415,436,1043,1049,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
126,RggbLogarithmicMasterWindowA,2,414,435,1044,1050,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
127,RggbLogarithmicMasterWindowA,2,413,434,1045,1051,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
128,RggbLogarithmicMasterWindowA,2,413,434,1046,1051,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
129,RggbLogarithmicMasterWindowA,2,413,434,1047,1051,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
130,RggbLogarithmicMasterWindowA,2,413,434,1049,1052,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
135,RggbLogarithmicMasterWindowA,2,410,431,1048,1052,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
136,RggbLogarithmicMasterWindowA,2,411,432,1049,1054,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
137,RggbLogarithmicMasterWindowA,2,411,432,1050,1056,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
138,RggbLogarithmicMasterWindowA,2,411,432,1051,1057,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
139,RggbLogarithmicMasterWindowA,2,410,432,1052,1059,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
140,RggbLogarithmicMasterWindowA,2,410,432,1053,1060,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
141,RggbLogarithmicMasterWindowA,2,410,432,1054,1061,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
142,RggbLogarithmicMasterWindowA,2,409,431,1054,1063,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
143,RggbLogarithmicMasterWindowA,2,409,431,1055,1064,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
144,RggbLogarithmicMasterWindowA,2,409,431,1055,1065,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
145,RggbLogarithmicMasterWindowA,2,409,431,1056,1066,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
146,RggbLogarithmicMasterWindowA,2,409,431,1056,1067,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
147,RggbLogarithmicMasterWindowA,2,409,432,1057,1068,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
148,RggbLogarithmicMasterWindowA,2,410,432,1058,1068,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
149,RggbLogarithmicMasterWindowA,2,410,433,1059,1069,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
150,RggbLogarithmicMasterWindowA,2,410,433,1061,1070,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
151,RggbLogarithmicMasterWindowA,2,411,434,1062,1072,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
152,RggbLogarithmicMasterWindowA,2,411,434,1064,1073,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
153,RggbLogarithmicMasterWindowA,2,411,434,1066,1074,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
154,RggbLogarithmicMasterWindowA,2,412,435,1067,1074,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
155,RggbLogarithmicMasterWindowA,2,412,435,1069,1075,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
156,RggbLogarithmicMasterWindowA,2,412,435,1071,1076,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
157,RggbLogarithmicMasterWindowA,2,411,434,1072,1077,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
158,RggbLogarithmicMasterWindowA,2,411,434,1074,1078,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
159,RggbLogarithmicMasterWindowA,2,411,434,1075,1079,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
160,RggbLogarithmicMasterWindowA,2,410,433,1077,1081,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
166,RggbLogarithmicMasterWindowA,2,409,435,1078,1082,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
167,RggbLogarithmicMasterWindowA,2,409,436,1079,1084,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
168,RggbLogarithmicMasterWindowA,2,409,436,1081,1087,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
169,RggbLogarithmicMasterWindowA,2,409,436,1082,1089,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
170,RggbLogarithmicMasterWindowA,2,409,437,1083,1091,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
171,RggbLogarithmicMasterWindowA,2,409,437,1084,1093,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
172,RggbLogarithmicMasterWindowA,2,409,438,1085,1095,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
173,RggbLogarithmicMasterWindowA,2,409,438,1086,1096,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
174,RggbLogarithmicMasterWindowA,2,409,438,1087,1098,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
175,RggbLogarithmicMasterWindowA,2,409,438,1088,1100,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
176,RggbLogarithmicMasterWindowA,2,409,438,1088,1101,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
177,RggbLogarithmicMasterWindowA,2,409,438,1089,1103,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
178,RggbLogarithmicMasterWindowA,2,409,438,1090,1104,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
179,RggbLogarithmicMasterWindowA,2,410,439,1091,1106,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
180,RggbLogarithmicMasterWindowA,2,410,439,1092,1107,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
181,RggbLogarithmicMasterWindowA,2,412,441,1094,1109,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
182,RggbLogarithmicMasterWindowA,2,413,442,1095,1110,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
183,RggbLogarithmicMasterWindowA,2,415,444,1097,1112,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
184,RggbLogarithmicMasterWindowA,2,415,445,1099,1114,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
185,RggbLogarithmicMasterWindowA,2,417,447,1100,1115,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
186,RggbLogarithmicMasterWindowA,2,418,448,1102,1117,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
187,RggbLogarithmicMasterWindowA,1,417,446,1107,1113,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
188,RggbLogarithmicMasterWindowA,1,415,444,1109,1115,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
189,RggbLogarithmicMasterWindowA,1,413,442,1111,1117,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
190,RggbLogarithmicMasterWindowA,1,410,439,1112,1118,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
191,RggbLogarithmicMasterWindowA,1,408,437,1114,1120,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
192,RggbLogarithmicMasterWindowA,1,408,437,1115,1122,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
193,RggbLogarithmicMasterWindowA,1,407,437,1117,1123,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
194,RggbLogarithmicMasterWindowA,1,407,437,1118,1125,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
195,RggbLogarithmicMasterWindowA,1,408,438,1120,1127,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
196,RggbLogarithmicMasterWindowA,1,409,440,1122,1129,pedestrian,adult,NN,walking,none,false,false,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
